SNo,Label
-1.731882981319022,2
-1.7315473125562892,2
-1.7312116437935563,2
-1.730875975030824,2
-1.7305403062680913,2
-1.7302046375053588,2
-1.729868968742626,2
-1.7295332999798934,2
-1.7291976312171609,2
-1.728861962454428,2
-1.7285262936916956,2
-1.728190624928963,2
-1.7278549561662302,2
-1.7275192874034977,2
-1.727183618640765,2
-1.7268479498780325,2
-1.7265122811152998,2
-1.726176612352567,2
-1.7258409435898343,2
-1.7255052748271018,2
-1.7251696060643693,2
-1.7248339373016366,2
-1.724498268538904,2
-1.7241625997761714,2
-1.7238269310134386,2
-1.723491262250706,2
-1.7231555934879734,2
-1.7228199247252407,2
-1.7224842559625082,2
-1.7221485871997757,2
-1.721812918437043,2
-1.7214772496743105,2
-1.7211415809115775,2
-1.720805912148845,2
-1.7204702433861123,2
-1.7201345746233796,2
-1.719798905860647,2
-1.7194632370979144,2
-1.719127568335182,2
-1.7187918995724492,2
-1.7184562308097164,2
-1.718120562046984,1
-1.7177848932842512,1
-1.7174492245215187,2
-1.717113555758786,2
-1.7167778869960533,2
-1.7164422182333208,2
-1.716106549470588,2
-1.7157708807078556,2
-1.7154352119451228,2
-1.71509954318239,2
-1.7147638744196576,1
-1.7144282056569249,2
-1.7140925368941924,2
-1.7137568681314597,1
-1.713421199368727,1
-1.7130855306059944,2
-1.7127498618432615,2
-1.7124141930805292,2
-1.7120785243177965,1
-1.7117428555550638,0
-1.7114071867923313,0
-1.7110715180295986,0
-1.710735849266866,0
-1.7104001805041331,2
-1.7100645117414006,1
-1.709728842978668,1
-1.7093931742159354,2
-1.709057505453203,2
-1.7087218366904702,2
-1.7083861679277377,2
-1.708050499165005,0
-1.7077148304022722,0
-1.7073791616395395,0
-1.707043492876807,0
-1.7067078241140743,2
-1.7063721553513418,1
-1.706036486588609,2
-1.7057008178258766,2
-1.7053651490631438,2
-1.7050294803004111,2
-1.7046938115376786,1
-1.704358142774946,2
-1.7040224740122134,2
-1.703686805249481,2
-1.703351136486748,1
-1.7030154677240157,1
-1.7026797989612827,2
-1.7023441301985502,2
-1.7020084614358175,2
-1.7016727926730848,2
-1.7013371239103523,2
-1.7010014551476196,1
-1.700665786384887,1
-1.7003301176221544,2
-1.6999944488594216,2
-1.6996587800966891,2
-1.6993231113339564,2
-1.698987442571224,1
-1.6986517738084912,1
-1.6983161050457585,2
-1.697980436283026,2
-1.6976447675202933,2
-1.6973090987575603,2
-1.696973429994828,1
-1.6966377612320953,2
-1.6963020924693628,2
-1.69596642370663,0
-1.6956307549438974,0
-1.6952950861811649,2
-1.694959417418432,2
-1.6946237486556996,1
-1.694288079892967,1
-1.6939524111302342,1
-1.6936167423675017,1
-1.693281073604769,1
-1.6929454048420365,2
-1.6926097360793038,1
-1.692274067316571,1
-1.6919383985538383,1
-1.6916027297911058,2
-1.691267061028373,1
-1.6909313922656406,1
-1.690595723502908,1
-1.6902600547401754,2
-1.6899243859774429,0
-1.6895887172147102,0
-1.6892530484519774,0
-1.6889173796892447,0
-1.6885817109265122,1
-1.6882460421637795,1
-1.687910373401047,0
-1.6875747046383145,0
-1.6872390358755815,0
-1.686903367112849,0
-1.6865676983501163,2
-1.6862320295873838,2
-1.685896360824651,2
-1.6855606920619184,2
-1.685225023299186,2
-1.6848893545364532,2
-1.6845536857737209,2
-1.684218017010988,2
-1.6838823482482552,2
-1.6835466794855227,2
-1.68321101072279,1
-1.6828753419600575,1
-1.6825396731973248,1
-1.682204004434592,1
-1.6818683356718596,1
-1.6815326669091268,1
-1.6811969981463943,0
-1.6808613293836616,0
-1.680525660620929,2
-1.6801899918581964,1
-1.6798543230954637,2
-1.6795186543327312,0
-1.6791829855699985,0
-1.6788473168072655,2
-1.6785116480445332,2
-1.6781759792818003,1
-1.677840310519068,1
-1.6775046417563353,1
-1.6771689729936026,1
-1.67683330423087,2
-1.6764976354681371,2
-1.6761619667054046,0
-1.675826297942672,0
-1.6754906291799394,1
-1.675154960417207,1
-1.6748192916544742,2
-1.6744836228917417,0
-1.674147954129009,0
-1.6738122853662762,2
-1.6734766166035435,2
-1.673140947840811,2
-1.6728052790780783,2
-1.6724696103153458,1
-1.672133941552613,1
-1.6717982727898806,0
-1.671462604027148,0
-1.6711269352644151,2
-1.6707912665016826,2
-1.67045559773895,2
-1.6701199289762174,2
-1.6697842602134847,2
-1.669448591450752,1
-1.6691129226880197,1
-1.6687772539252868,1
-1.6684415851625545,1
-1.6681059163998215,2
-1.6677702476370888,2
-1.6674345788743563,0
-1.6670989101116236,2
-1.666763241348891,1
-1.6664275725861584,1
-1.6660919038234256,2
-1.6657562350606931,2
-1.6654205662979604,2
-1.665084897535228,2
-1.6647492287724952,2
-1.6644135600097625,2
-1.66407789124703,2
-1.6637422224842973,2
-1.6634065537215648,2
-1.663070884958832,0
-1.662735216196099,1
-1.6623995474333668,1
-1.662063878670634,1
-1.6617282099079016,1
-1.6613925411451689,0
-1.6610568723824362,0
-1.6607212036197037,1
-1.660385534856971,2
-1.6600498660942384,2
-1.6597141973315055,2
-1.659378528568773,2
-1.6590428598060405,2
-1.6587071910433078,2
-1.6583715222805753,1
-1.6580358535178426,1
-1.6577001847551098,0
-1.657364515992377,0
-1.6570288472296446,2
-1.656693178466912,2
-1.6563575097041794,0
-1.6560218409414469,2
-1.6556861721787142,2
-1.6553505034159814,1
-1.6550148346532487,1
-1.6546791658905162,1
-1.6543434971277835,1
-1.654007828365051,1
-1.6536721596023185,1
-1.6533364908395856,2
