lat,lon,TMQ,U850,V850,UBOT,VBOT,QREFHT,PS,PSL,T200,T500,PRECT,TS,TREFHT,Z1000,Z200,ZBOT,SNo
-1.1986239134452812,2.073276559670483,-0.7700597197716128,1.0021557969635948,-4.042246695340125,-0.8041092135858757,-0.8084047561024981,-0.8721119549903519,-0.060943833123941325,-0.06492727966674255,-2.0205268947703625,-2.0375701565776208,-0.27929846696214866,-1.8007594881974331,-1.5327431593266507,-0.13866132759125804,-2.294561789063824,-1.4043041829849794,1
-1.1986239134452812,2.073276559670483,-0.7700597197716128,1.0021557969635948,-4.042246695340125,-0.8041092135858757,-0.8084047561024981,-0.8721119549903519,-0.060943833123941325,-0.06492727966674255,-2.0205268947703625,-2.0375701565776208,-0.27929846696214866,-1.8007594881974331,-1.5327431593266507,-0.13866132759125804,-2.294561789063824,-1.4043041829849794,2
-1.2293578599005044,2.073276559670483,-0.6908708694613056,0.766310867245802,-4.004279581251175,-0.7818116702712328,-0.6440942827337105,-0.8111746230773412,-0.0935621178634034,-0.09763113422608628,-1.9899143530513805,-2.138935111362615,-0.2949758159385095,-1.880300241161574,-1.555880554589159,-0.17247502605713427,-2.4089485456418998,-1.4028030684831307,3
-1.2293578599005044,2.073276559670483,-0.6908708694613056,0.766310867245802,-4.004279581251175,-0.7818116702712328,-0.6440942827337105,-0.8111746230773412,-0.0935621178634034,-0.09763113422608628,-1.9899143530513805,-2.138935111362615,-0.2949758159385095,-1.880300241161574,-1.555880554589159,-0.17247502605713427,-2.4089485456418998,-1.4028030684831307,4
-1.2191132112276086,2.073276559670483,-0.7266996347017182,0.8229286909985046,-3.978844469149409,-0.7772941444811993,-0.5932943215526166,-0.8269463393614332,-0.10672428946490417,-0.11082783506976479,-1.9777955741996578,-2.1677491032002356,-0.28974658161722394,-1.8007594881974331,-1.5324161811863903,-0.18618601561989626,-2.3761171816632407,-1.3964293039491316,5
-1.2191132112276086,2.073276559670483,-0.7266996347017182,0.8229286909985046,-3.978844469149409,-0.7772941444811993,-0.5932943215526166,-0.8269463393614332,-0.10672428946490417,-0.11082783506976479,-1.9777955741996578,-2.1677491032002356,-0.28974658161722394,-1.8007594881974331,-1.5324161811863903,-0.18618601561989626,-2.3761171816632407,-1.3964293039491316,6
-1.208868562118177,2.073276559670483,-0.7630816390634009,0.9138432776134006,-3.971265257541331,-0.7855715788977901,-0.666926217175722,-0.8419278096506592,-0.09828896707053847,-0.10237038370621218,-1.9904574889820759,-2.0960400508735155,-0.29506102925560185,-1.8007594881974331,-1.550897666742597,-0.17815525393590848,-2.3357103427676345,-1.4172773834392207,7
-1.208868562118177,2.073276559670483,-0.7630816390634009,0.9138432776134006,-3.971265257541331,-0.7855715788977901,-0.666926217175722,-0.8419278096506592,-0.09828896707053847,-0.10237038370621218,-1.9904574889820759,-2.0960400508735155,-0.29506102925560185,-1.8007594881974331,-1.550897666742597,-0.17815525393590848,-2.3357103427676345,-1.4172773834392207,8
-1.1986239134452812,2.065663549047458,-0.756537294180983,0.9573259303270711,-3.8730274192372733,-0.639569274091129,-0.8753078240323169,-0.8483296952717753,-0.09400603821608187,-0.09807621914596759,-1.79832943824992,-2.0873716379552767,-0.29500923107997395,-1.8067199959950633,-1.532920856735969,-0.17321680961921285,-2.3242488820671454,-1.3983886184927292,9
-1.1986239134452812,2.065663549047458,-0.756537294180983,0.9573259303270711,-3.8730274192372733,-0.639569274091129,-0.8753078240323169,-0.8483296952717753,-0.09400603821608187,-0.09807621914596759,-1.79832943824992,-2.0873716379552767,-0.29500923107997395,-1.8067199959950633,-1.532920856735969,-0.17321680961921285,-2.3242488820671454,-1.3983886184927292,10
-1.2191132112276086,2.065663549047458,-0.7023293116858409,0.7746290287515056,-3.811933584430686,-0.5224573497945774,-0.7616081478257619,-0.798957983313184,-0.09821057902635631,-0.10229179002121001,-1.7162477926931405,-2.220772822558511,-0.29431174883137845,-1.8067199959950633,-1.5309945320347251,-0.17646219673715277,-2.408048374169363,-1.385682134438944,11
-1.2191132112276086,2.065663549047458,-0.7023293116858409,0.7746290287515056,-3.811933584430686,-0.5224573497945774,-0.7616081478257619,-0.798957983313184,-0.09821057902635631,-0.10229179002121001,-1.7162477926931405,-2.220772822558511,-0.29431174883137845,-1.8067199959950633,-1.5309945320347251,-0.17646219673715277,-2.408048374169363,-1.385682134438944,12
-1.208868562118177,2.065663549047458,-0.7445083675205019,0.8569122171088501,-3.808220382449063,-0.5776232561454707,-0.7721154157570045,-0.8092760633719123,-0.10265028396920155,-0.10674314195148335,-1.7563585168809501,-2.1090221876489252,-0.2272932115844093,-1.8067199959950633,-1.555034669267761,-0.1821360128335057,-2.3607760319004116,-1.4121619591845944,13
-1.208868562118177,2.065663549047458,-0.7445083675205019,0.8569122171088501,-3.808220382449063,-0.5776232561454707,-0.7721154157570045,-0.8092760633719123,-0.10265028396920155,-0.10674314195148335,-1.7563585168809501,-2.1090221876489252,-0.2272932115844093,-1.8067199959950633,-1.555034669267761,-0.1821360128335057,-2.3607760319004116,-1.4121619591845944,14
-1.2293578599005044,2.065663549047458,-0.672022473136822,0.705612485508529,-3.7910540485574176,-0.47903425836314745,-0.8581422785872616,-0.7978105122380541,-0.10477862800950928,-0.10887706942505956,-1.6892810292181961,-2.2002137343283166,-0.29432116154728394,-1.8873512529008956,-1.5452821351242998,-0.18355547053683763,-2.4445311223809947,-1.3884347498784175,15
