SNo,TMQ,U850,V850,UBOT,VBOT,QREFHT,PS,PSL,T200,T500,PRECT,TS,TREFHT,Z1000,Z200,ZBOT,location_combined,Year,Month,Day
-1.731882981319022,-0.7700970315781988,1.0022043545524484,-4.042442554859843,-0.804148175197139,-0.8084439258462573,-0.8721542115475386,-0.06094678604363799,-0.06493042559690729,-2.0206247956302095,-2.037668883236911,-0.27931199984812033,-1.800846740637739,-1.5328174255359306,-0.13866804616710768,-2.2946729677730526,-1.4043722259233617,0.0,0.0,1.0,0.27586206896551724
-1.7315473125562892,-0.7700970315781988,1.0022043545524484,-4.042442554859843,-0.804148175197139,-0.8084439258462573,-0.8721542115475386,-0.06094678604363799,-0.06493042559690729,-2.0206247956302095,-2.037668883236911,-0.27931199984812033,-1.800846740637739,-1.5328174255359306,-0.13866804616710768,-2.2946729677730526,-1.4043722259233617,0.0,0.0,1.0,0.27586206896551724
-1.7312116437935565,-0.6909043443199372,0.7663479974087352,-4.004473601145237,-0.7818495514966479,-0.6441254911201296,-0.8112139270298354,-0.09356665124121274,-0.09763586476048962,-1.9900107706376498,-2.139038749471616,-0.29499010844116774,-1.8803913476006204,-1.5559559418777458,-0.17248338301263774,-2.409065266747942,-1.4028710386878116,0.0,0.0,1.0,0.27586206896551724
-1.730875975030824,-0.6909043443199372,0.7663479974087352,-4.004473601145237,-0.7818495514966479,-0.6441254911201296,-0.8112139270298354,-0.09356665124121274,-0.09763586476048962,-1.9900107706376498,-2.139038749471616,-0.29499010844116774,-1.8803913476006204,-1.5559559418777458,-0.17248338301263774,-2.409065266747942,-1.4028710386878116,0.0,0.0,1.0,0.27586206896551724
-1.7305403062680913,-0.7267348455763035,0.822968564472424,-3.979037256632583,-0.7773318068183332,-0.5933230685217229,-0.8269864075030057,-0.10672946059117436,-0.11083320502567898,-1.9778914045931146,-2.1678541374374363,-0.28976062074709225,-1.800846740637739,-1.5324904315525547,-0.18619503691581063,-2.376232311986813,-1.396496965324947,0.0,0.0,1.0,0.27586206896551724
-1.7302046375053588,-0.7267348455763035,0.822968564472424,-3.979037256632583,-0.7773318068183332,-0.5933230685217229,-0.8269864075030057,-0.10672946059117436,-0.11083320502567898,-1.9778914045931146,-2.1678541374374363,-0.28976062074709225,-1.800846740637739,-1.5324904315525547,-0.18619503691581063,-2.376232311986813,-1.396496965324947,0.0,0.0,1.0,0.27586206896551724
-1.729868968742626,-0.763118612760109,0.9138875561839435,-3.971457677787951,-0.7856096423025607,-0.666958531840914,-0.8419686036914151,-0.0982937294790046,-0.1023753438721044,-1.9905539328849828,-2.0961416105824138,-0.29507532588711227,-1.800846740637739,-1.5509728125946527,-0.178163886116253,-2.3358235152532387,-1.4173460549698198,0.0,0.0,1.0,0.27586206896551724
-1.7295332999798934,-0.763118612760109,0.9138875561839435,-3.971457677787951,-0.7856096423025607,-0.666958531840914,-0.8419686036914151,-0.0982937294790046,-0.1023753438721044,-1.9905539328849828,-2.0961416105824138,-0.29507532588711227,-1.800846740637739,-1.5509728125946527,-0.178163886116253,-2.3358235152532387,-1.4173460549698198,0.0,0.0,1.0,0.27586206896551724
-1.7291976312171609,-0.7565739507836734,0.9573723157684011,-3.873215079552776,-0.6396002632266992,-0.8753502354393738,-0.8483707995039513,-0.09401059310322343,-0.09808097124613008,-1.7984165729466908,-2.0874727776524047,-0.2950235252017005,-1.8068075372406507,-1.532995131555245,-0.17322520251645446,-2.324361499209061,-1.3984563748034742,0.0,0.0,1.0,0.27586206896551724
-1.7288619624544281,-0.7565739507836734,0.9573723157684011,-3.873215079552776,-0.6396002632266992,-0.8753502354393738,-0.8483707995039513,-0.09401059310322343,-0.09808097124613008,-1.7984165729466908,-2.0874727776524047,-0.2950235252017005,-1.8068075372406507,-1.532995131555245,-0.17322520251645446,-2.324361499209061,-1.3984563748034742,0.0,0.0,1.0,0.27586206896551724
